XYZ Points Summary (22/04/2017 6:26am)
Project Name: C:\Users\jyun\Desktop\stick_photo\stick.aus
______________________________________________________________________________________________________

       Quick Summary
    Number of Points: 367
    Number of Images: 26

Sightings
                                 Point Coordinates                       Standard Errors                           #
               Label           X              Y              Z         SX        SY        SZ     RMS xy(µm)  Rays
             WONB1_2       -93.9129       444.2277        -1.5281    0.0617    0.0614    0.1011   1.041         6
            WONB1_B1       -88.1389       454.8576        -0.8498    0.0657    0.0651    0.1218   1.396         5
             WONB1_1       -85.7030       446.5733        -1.2191    0.0622    0.0617    0.1010   0.990         6
            WONB18_3      -138.5396      -117.0224        -2.8672    0.0676    0.0761    0.1132   0.640         4
           WONB18_B9      -131.8344       -91.5348        -2.5038    0.0587    0.0649    0.0858   0.880         6
            WONB18_5      -129.9592       -99.9003        -2.3017    0.0580    0.0605    0.0795   1.008         7
              WONB18      -129.9373      -108.4612        -2.2019    0.0580    0.0603    0.0795   1.076         7
            WONB18_2      -130.0219      -117.0843        -2.4551    0.0633    0.0609    0.0857   0.792         6
           WONB18_B6      -123.2101       -94.5814        -2.1552    0.0592    0.0650    0.0857   0.832         6
           WONB18_B1      -121.4075      -108.4860        -1.8167    0.0592    0.0647    0.0856   0.823         6
            WONB18_1      -121.4788      -117.0463        -2.2054    0.0583    0.0602    0.0794   0.769         7
           WONB23_B6       -26.5932      -144.9398        -0.6867    0.0488    0.0472    0.0696   1.065         9
